CompanyId,PersianYear,Return,Beta,DPR,Cash to total assets ratio,Current ratio,Quick Ratio,Debt to equity ratio,Equity Ratio,DuPont Ratio,Gross profit margin,Operating profit margin,Net profit margin,Return on assets,Return on equity,Return on investment,Sales growth rate,Current debt to total debt Ratio,Net working capital,Cost to sales ratio,Sale to current assets,Capital to sales ratio,Operating cash flow to sales,Cash flow returns to sales,Profit margin before interest and taxes,Net return on working capital
12415,1392,21.25,-1.9,0.13,1.72,1.62,1.02,1.62,2.62,38.19,21.4,17.81,13.07,29.57,90.76,44.49,63.67,87.59,77722,3.51,2.12,16.35,16.35,5.22,18.03,103.47
1,1393,14.93,0.85,1,0.22,0.93,0.31,3.9,4.9,20.41,14.04,11.71,13.51,23.77,73.91,19.14,23.6,28.24,-11447,1.7,5.53,3.31,3.31,7.49,14.05,1081.53
2,1393,-27.13,0.96,0.65,8.21,0.62,0.38,1.56,2.56,39.07,23.69,16.63,12.64,7.91,16.87,13.98,19.41,94.96,-77929,7.1,1.57,45.51,45.51,37.54,16.89,-59.8
3,1393,-37.29,0.53,0.79,3.21,0.86,0.51,0.73,1.73,57.76,50.31,52.25,56.66,29.25,45.93,39.09,-15.89,92.99,-3025348,0.68,1.37,68.94,68.94,53.84,56.66,836.93
4,1393,-31.99,0.23,1.02,0.51,0.93,0.6,0.93,1.93,51.94,38.85,34.78,36.98,17.53,31.51,25.92,-7.85,88.55,-1638497,4.59,1.05,75.5,75.5,17.24,40.53,1393.38
6,1393,-47.7,0.22,0.5,0.7,13.12,9.73,0.1,1.1,90.97,54.93,37.2,37.3,20.38,22.57,20.48,-46.57,74.87,449705,17.72,0.58,72.1,72.1,8.5,37.3,25.07
7,1393,39.36,-0.1,0,0.33,0.42,0.11,2.97,3.97,25.2,14.11,3.53,0.92,0.99,3.91,2.49,11.54,95.57,-37507,10.13,3.08,36.09,36.09,15.48,4.29,-2.42
9,1393,-44.73,0.27,0.62,4.05,1.12,0.7,1.15,2.15,46.45,13.78,-4.99,15.92,7.55,16.38,9.63,41.53,86.25,26398,19.04,0.84,49.47,49.47,14.86,25.25,175.71
10,1393,-10.76,1,0.6,9.1,3.75,2.21,0.21,1.21,82.56,28.44,20.28,36.88,32.03,38.16,36.59,10.68,95.64,477020,8.13,1.32,23.28,23.28,28.9,37.55,63.33
11,1393,-15.24,2.53,0.89,2.74,1.53,0.89,1.08,2.08,48.05,32.74,19.54,14.39,16.6,33.82,29.09,14.65,88.98,29395,13.21,1.59,23.27,23.27,18.95,19.04,73.79
14,1393,-32.85,0.27,0,4.33,1.38,0.52,1.63,2.63,37.96,-11.84,-38.88,-46.25,-10.32,-24.42,-12.38,-27.22,90.81,48772,33.37,0.3,233.94,233.94,1.47,-8.43,-41.93
15,1393,7.25,0.17,1.29,2.37,9.48,3.94,0.19,1.19,84.18,23.13,8.64,7.36,6.36,8.22,7.97,-9.76,50.13,71057,8.82,1.33,47.5,47.5,29.39,10.48,10.37
19,1393,30.32,1.16,1.05,14.64,2.66,1.43,0.73,1.73,57.64,40.46,18.98,16.08,17.96,29.33,23.22,4.67,64.08,32641,17.66,1.53,37.6,37.6,32.18,21.48,35.43
27,1393,-22.25,0.64,0.51,3,0.84,0.3,9.26,10.26,9.74,14.25,5.94,0.84,1.74,15.84,2.09,30.95,92.71,-328384,8.85,2.45,4.28,4.28,1.72,6.67,-13.5
28,1393,40.87,0.3,0.97,1.98,1.07,0.61,2.24,3.24,30.87,13.67,6.04,4.41,14.89,52.94,27.36,34.22,95.01,31323,7.62,4.77,3.87,3.87,5.76,6.6,537.4
29,1393,-30.46,1.67,0,0.5,1.01,0.47,3.4,4.4,22.72,10.91,4.02,0.22,0.25,1.21,0.34,26.85,38.72,1355,6.01,4.29,34.7,34.7,7.82,4.11,-5.1
30,1393,-65.3,2.47,0.57,10.24,1.44,1.06,0.7,1.7,58.89,18.01,7.8,3.59,3.43,5.7,4.17,-4.1,99.27,116282,10.38,1.72,38.11,38.11,3.12,8.81,18.73
31,1393,-6.98,1.18,0.93,1.61,1.46,0.83,1.72,2.72,36.7,9.85,4.41,7.74,25.43,77.46,40.53,20.66,93.8,176063,5.18,3.6,4.06,4.06,0.57,9.52,119.2
35,1393,31.2,0,0.56,56.42,1.75,1.61,0.92,1.92,52.13,16.95,4.35,3.68,5.89,14,7.22,8.82,95.74,134414,12.26,1.56,10.23,10.23,8.97,5.82,26.37
38,1393,16.8,-0.31,0.86,27.7,1.46,1.27,0.95,1.95,51.2,13.4,8.4,5.05,5.16,9.89,7.72,10.71,77.98,146089,4.44,1.81,35.96,35.96,5.04,8.58,31.18
52,1393,-56.68,0.45,1.02,2.91,0.94,0.36,3.21,4.21,23.73,4.96,3.24,0.41,1.02,3.4,1.57,37.91,96.87,-40271,1.82,3.67,8.4,8.4,11.24,4.22,40.34
54,1393,-67.63,1.75,0,5.26,0.8,0.29,-18.79,-17.79,-5.62,0.09,-5.13,-6.25,-13.95,-122.22,-50.78,-11.72,91.53,-95663,3.87,2.85,9.26,9.26,3.52,-3.3,179.18
55,1393,-53.38,0.17,0,3.1,0.96,0.4,4.72,5.72,17.48,1.99,0.33,-4.08,-4.8,-26.39,-9.72,-14.39,96.33,-22425,1.88,2.12,14.14,14.14,16.17,2.13,-119.66
56,1393,-33.33,1.04,0.32,1.35,2.07,1.57,0.94,1.94,51.55,27.83,23.37,11.94,12.49,24.4,13.85,-0.35,50.1,719363,6.18,1.91,23.72,23.72,22.21,19.13,62.09
61,1393,21.16,0.13,0.6,2.17,1.02,0.91,9.39,10.39,9.62,21.41,5.61,2.63,4.98,47.33,12.8,30.48,98.13,14386,15.86,2.04,2.65,2.65,6.77,5.82,176.36
62,1393,-48.56,-0.08,1.17,5.71,0.6,0.23,9.4,10.4,9.62,24.45,12.08,2.48,2.43,21.95,2.97,7.36,84.14,-1118084,13.16,1.98,5,5,20.39,11.34,-8.91
73,1393,-28.99,-0.13,0.1,1.5,1.12,0.43,1.36,2.36,42.3,10.34,-6.1,21.37,7.9,12.95,14.26,-15.62,96.33,18832,16.44,0.56,67.15,67.15,16.47,28.15,30.6
94,1393,-38.24,1.52,0,6.57,1.33,0.32,0.8,1.8,55.69,-1.7,-22.6,-22.15,-14.58,-24.68,-17.69,-8.43,66.19,7956,20.75,1.74,90.68,90.68,-12.24,-19.11,-99.14
96,1393,-58.52,0.01,1.17,12.53,0.62,0.44,3.43,4.43,22.55,15.97,10.47,12.53,9.31,35.91,30.58,-11.96,95.2,-137795,5.5,1.52,7.33,7.33,5.26,15.9,-47.94
97,1393,-28.89,1.48,0.88,3.13,1.08,0.61,2.88,3.88,25.78,18.23,12.03,6.92,7.8,24.84,10.27,6,98.9,48291,7.91,1.27,15.2,15.2,-8.65,14.5,79.61
